source_session_id,mouse_id,date,modality,session_stimulus,qc,qc_tags,source_row
ecephys_830795_2026-02-26_16-01-33,830795,2026-02-26,neuropixels,EPHYS_SESSION4_PROD_P3_DURATION,PASS,,27
ecephys_830846_2026-03-09_10-32-54,830846,2026-03-09,neuropixels,EPHYS_SESSION1_PROD_P3_SEQUENCE,PASS,,28
ecephys_830846_2026-03-11_10-19-32,830846,2026-03-11,neuropixels,EPHYS_SESSION3_PROD_P3_STANDARD,PASS,,29
ecephys_830847_2026-03-10_16-32-25,830847,2026-03-10,neuropixels,EPHYS_SESSION2_PROD_P3_DURATION,PASS,,30
ecephys_830847_2026-03-11_15-46-40,830847,2026-03-11,neuropixels,EPHYS_SESSION3_PROD_P3_STANDARD,PASS,,31
ecephys_830847_2026-03-12_17-14-42,830847,2026-03-12,neuropixels,EPHYS_SESSION4_PROD_P3_SENSORYMOTOR,PASS,,32
ecephys_830848_2026-03-02_15-05-26,830848,2026-03-02,neuropixels,EPHYS_SESSION1_PROD_P3_SEQUENCE,PASS,missing running,33
ecephys_830848_2026-03-03_14-02-09,830848,2026-03-03,neuropixels,EPHYS_SESSION2_PROD_P3_DURATION,PASS,missing running,34
ecephys_830848_2026-03-04_15-34-54,830848,2026-03-04,neuropixels,EPHYS_SESSION3_PROD_P3_STANDARD,PASS,missing running,35
ecephys_830848_2026-03-05_16-07-50,830848,2026-03-05,neuropixels,EPHYS_SESSION4_PROD_P3_SENSORYMOTOR,PASS,,36
ecephys_830849_2026-03-04_10-14-36,830849,2026-03-04,neuropixels,EPHYS_SESSION1_PROD_P3_SEQUENCE,PASS,blood at insertion,37
ecephys_830849_2026-03-05_10-41-20,830849,2026-03-05,neuropixels,EPHYS_SESSION2_PROD_P3_DURATION,PASS,blood at insertion,38
ecephys_830849_2026-03-06_10-51-58,830849,2026-03-06,neuropixels,EPHYS_SESSION3_PROD_P3_STANDARD,PASS,,39
ecephys_830849_2026-03-07_09-48-16,830849,2026-03-07,neuropixels,EPHYS_SESSION4_PROD_P3_SENSORYMOTOR,PASS,,40
ecephys_830851_2026-03-16_10-18-07,830851,2026-03-16,neuropixels,EPHYS_SESSION1_PROD_P3_SENSORYMOTOR,PASS,,41
ecephys_830851_2026-03-18_10-24-59,830851,2026-03-18,neuropixels,EPHYS_SESSION3_PROD_P3_SEQUENCE,PASS,,42
ecephys_830851_2026-03-19_10-49-11,830851,2026-03-19,neuropixels,EPHYS_SESSION4_PROD_P3_DURATION,PASS,,43
ecephys_830852_2026-02-23_10-31-02,830852,2026-02-23,neuropixels,EPHYS_SESSION1_PROD_P3_SENSORYMOTOR,PASS,,44
ecephys_830852_2026-02-24_10-20-58,830852,2026-02-24,neuropixels,EPHYS_SESSION2_PROD_P3_STANDARD,PASS,,45
ecephys_830852_2026-02-25_10-32-11,830852,2026-02-25,neuropixels,EPHYS_SESSION3_PROD_P3_SEQUENCE,PASS,,46
ecephys_830852_2026-02-26_10-49-56,830852,2026-02-26,neuropixels,EPHYS_SESSION4_PROD_P3_DURATION,PASS,,47
ecephys_832691_2026-03-23_11-28-47,832691,2026-03-23,neuropixels,EPHYS_SESSION1_PROD_P3_SEQUENCE,PASS,,48
ecephys_832691_2026-03-24_10-04-30,832691,2026-03-24,neuropixels,EPHYS_SESSION2_PROD_P3_DURATION,PASS,,49
ecephys_832691_2026-03-26_10-51-37,832691,2026-03-26,neuropixels,EPHYS_SESSION4_PROD_P3_SENSORYMOTOR,PASS,high frequency noise contamination,50
multiplane-ophys_850399_2026-05-21_09-39-31,850399,2026-05-20,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,z-drift,51
multiplane-ophys_850399_2026-05-20_09-37-10,850399,2026-05-21,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,,52
multiplane-ophys_850399_2026-05-28_09-55-47,850399,2026-05-28,mesoscope,OPTICAL_SESSION2_DURATION,Pass,,53
multiplane-ophys_850399_2026-05-27_13-34-48,850399,2026-05-27,mesoscope,OPTICAL_SESSION2_DURATION,Pass,,54
multiplane-ophys_850399_2026-05-30_10-07-34,850399,2026-05-30,mesoscope,OPTICAL_SESSION3_STANDARD,Fail,z-drift,55
multiplane-ophys_850399_2026-05-29_10-06-36,850399,2026-05-29,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,56
multiplane-ophys_850399_2026-06-03_09-59-04,850399,2026-06-03,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,57
multiplane-ophys_850399_2026-06-02_10-59-46,850399,2026-06-02,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,58
ecephys_834686_2026-03-23_17-08-31,834686,2026-03-23,neuropixels,EPHYS_SESSION1_PROD_P3_SEQUENCE,PASS,,59
ecephys_834686_2026-03-24_15-41-18,834686,2026-03-24,neuropixels,EPHYS_SESSION2_PROD_P3_DURATION,PASS,,60
ecephys_834686_2026-03-25_15-47-48,834686,2026-03-25,neuropixels,EPHYS_SESSION3_PROD_P3_STANDARD,PASS,,61
ecephys_834686_2026-03-26_16-15-13,834686,2026-03-26,neuropixels,EPHYS_SESSION4_PROD_P3_SENSORYMOTOR,PASS,high frequency noise contamination,62
ecephys_834687_2026-03-17_16-18-25,834687,2026-03-17,neuropixels,EPHYS_SESSION2_PROD_P3_DURATION,PASS,,63
ecephys_834687_2026-03-18_15-50-10,834687,2026-03-18,neuropixels,EPHYS_SESSION3_PROD_P3_STANDARD,PASS,,64
ecephys_834687_2026-03-19_16-06-07,834687,2026-03-19,neuropixels,EPHYS_SESSION4_PROD_P3_SENSORYMOTOR,PASS,,65
ecephys_834691_2026-02-16_11-02-15,834691,2026-02-16,neuropixels,EPHYS_SESSION1_PROD_P3_SENSORYMOTOR,PASS,,66
ecephys_834691_2026-02-17_10-49-35,834691,2026-02-17,neuropixels,EPHYS_SESSION2_PROD_P3_STANDARD,PASS,,67
multiplane-ophys_846289_2026-04-10_14-12-11,846289,2026-04-10,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,68
multiplane-ophys_846289_2026-04-13_11-49-19,846289,2026-04-13,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,69
multiplane-ophys_846289_2026-04-15_13-55-19,846289,2026-04-15,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,70
multiplane-ophys_846289_2026-04-16_13-56-40,846289,2026-04-16,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,71
multiplane-ophys_846289_2026-04-20_11-49-37,846289,2026-04-20,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,72
multiplane-ophys_846289_2026-04-21_10-51-37,846289,2026-04-21,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,73
multiplane-ophys_846289_2026-04-23_14-15-03,846289,2026-04-23,mesoscope,OPTICAL_SESSION4_DURATION,Pass,,74
multiplane-ophys_846289_2026-04-27_09-47-06,846289,2026-04-27,mesoscope,OPTICAL_SESSION4_DURATION,Pass,z-drift,75
multiplane-ophys_845342_2026-03-25_14-20-33,845342,2026-03-25,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,76
multiplane-ophys_845342_2026-03-26_13-33-27,845342,2026-03-26,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,77
multiplane-ophys_845342_2026-03-27_14-07-55,845342,2026-03-27,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,78
multiplane-ophys_845342_2026-03-30_09-58-06,845342,2026-03-30,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,79
multiplane-ophys_845342_2026-03-31_11-44-28,845342,2026-03-31,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,80
multiplane-ophys_845342_2026-04-01_14-12-13,845342,2026-04-01,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,81
multiplane-ophys_845342_2026-04-02_15-08-49,845342,2026-04-02,mesoscope,OPTICAL_SESSION4_DURATION,Pass,,82
multiplane-ophys_845342_2026-04-03_13-57-42,845342,2026-04-03,mesoscope,OPTICAL_SESSION4_DURATION,Pass,,83
multiplane-ophys_843001_2026-03-11_11-31-59,843001,2026-03-11,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Fail,z-drift,84
multiplane-ophys_843001_2026-03-18_11-39-01,843001,2026-03-18,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,85
multiplane-ophys_843001_2026-03-19_13-01-20,843001,2026-03-19,mesoscope,OPTICAL_SESSION2_STANDARD,Fail,z-drift,86
multiplane-ophys_843001_2026-03-21_11-43-22,843001,2026-03-21,mesoscope,OPTICAL_SESSION2_STANDARD,Fail,cell matching failure,87
multiplane-ophys_843001_2026-04-02_12-08-20,843001,2026-04-02,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,88
multiplane-ophys_843001_2026-04-03_11-46-14,843001,2026-04-03,mesoscope,OPTICAL_SESSION4_DURATION,Pass,,89
multiplane-ophys_843001_2026-03-12_12-24-55,843001,2026-03-12,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,90
multiplane-ophys_843001_2026-03-25_12-01-30,843001,2026-03-25,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,91
multiplane-ophys_843001_2026-04-01_11-53-58,843001,2026-04-01,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,92
multiplane-ophys_843001_2026-04-09_12-14-56,843001,2026-04-09,mesoscope,OPTICAL_SESSION4_DURATION,Pass,,93
multiplane-ophys_843001_2026-04-11_13-05-48,843001,2026-04-11,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,94
multiplane-ophys_843001_2026-04-16_09-36-51,843001,2026-04-16,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,95
multiplane-ophys_843000_2026-03-03_12-18-14,843000,2026-03-03,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,,96
multiplane-ophys_843000_2026-03-04_13-46-36,843000,2026-03-04,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,,97
multiplane-ophys_843000_2026-03-10_12-00-54,843000,2026-03-10,mesoscope,OPTICAL_SESSION2_DURATION,Pass,,98
multiplane-ophys_843000_2026-03-11_14-27-49,843000,2026-03-11,mesoscope,OPTICAL_SESSION2_DURATION,Pass,,99
multiplane-ophys_843000_2026-03-17_12-23-04,843000,2026-03-17,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,100
multiplane-ophys_843000_2026-03-18_14-44-34,843000,2026-03-18,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,101
multiplane-ophys_843000_2026-03-19_15-05-20,843000,2026-03-19,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,102
794237_2025-04-03_10-38-30,794237,2025-04-03,slap2,1 oddball block + RF,Pass,pilot session,103
794237_2025-04-24_14-20-19,794237,2025-04-24,slap2,1 oddball block + RF,Pass,pilot session,104
794237_2025-05-08_14-50-40,794237,2025-05-08,slap2,1 oddball block + RF,Pass,pilot session,105
801381_2025-05-29_15-41-38,801381,2025-05-29,slap2,1 oddball block + orientation tuning + RF,Pass,pilot session,106
aborted,828408,2025-11-11,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR (WITH TRIPPY),Fail,?,107
828409_2025-11-11_14-41-13,828409,2025-11-11,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR (WITH TRIPPY),Pass,-,108
aborted,828408,2025-11-12,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR (WITH TRIPPY),Fail,motion correction failure,109
828408_2025-11-13_10-30-53,828408,2025-11-13,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR,Pass,-,110
828408_2025-11-18_14-44-48,828408,2025-11-18,slap2,SLAP2_SESSION2_PROD_P3_STANDARD,Pass,mouse stress,111
828408_2025-11-19_14-19-09,828408,2025-11-19,slap2,SLAP2_SESSION3_PROD_P3_SEQUENCE,Pass,-,112
828409_2025-11-19_10-17-45,828409,2025-11-19,slap2,SLAP2_SESSION2_PROD_P3_STANDARD,Pass,-,113
828408_2025-11-20_14-35-49,828408,2025-11-20,slap2,SLAP2_SESSION4_PROD_P3_DURATION,Pass,motion correction failure,114
828409_2025-11-20_10-01-34,828409,2025-11-20,slap2,SLAP2_SESSION3_PROD_P3_SEQUENCE,Pass,,115
828409_2025-11-21_11-14-03,828409,2025-11-21,slap2,SLAP2_SESSION4_PROD_P3_DURATION,Pass,-,116
829704_2025-12-10_13-47-47,829704,2025-12-10,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR,Pass,-,117
829704_2025-12-11_12-57-26,829704,2025-12-11,slap2,SLAP2_SESSION2_PROD_P3_STANDARD,Pass,-,118
829704_2025-12-16_11-03-04,829704,2025-12-16,slap2,SLAP2_SESSION3_PROD_P3_SEQUENCE,Pass,motion correction failure,119
829704_2025-12-18_10-57-36,829704,2025-12-18,slap2,SLAP2_SESSION4_PROD_P3_DURATION,Pass,-,120
841193_2026-02-02_13-12-24,841193,2026-02-02,slap2,aborted,Fail,"mouse stress, Slap2 stopped early",121
841193_2026-02-04_09-20-18,841193,2026-02-04,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR,Fail,"mouse stress, Slap2 stopped early",122
,834691,2026-02-18,neuropixels,EPHYS_SESSION3_PROD_P3_SEQUENCE,FAIL,mouse stress,123
,834691,2026-02-19,neuropixels,EPHYS_SESSION4_PROD_P3_DURATION,FAIL,mouse stress,124
841193_2026-02-17_10-26-41,841193,2026-02-17,slap2,SLAP2_SESSION3_PROD_P3_SEQUENCE,Fail,"mouse stress, Slap2 stopped early",125
aborted,845207,2026-02-25,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR,Fail,Slap2 stopped early,126
845207_2026-02-27_10-31-19,845207,2026-02-27,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR,Pass,mouse stress,127
845207_2026-04-06_10-07-41,845207,2026-04-06,slap2,SLAP2_SESSION2_PROD_P3_STANDARD,Pass,Slap2 stopped early,128
845207_2026-04-09_10-03-56,845207,2026-04-09,slap2,SLAP2_SESSION3_PROD_P3_SEQUENCE,Fail,Slap2 stopped early,129
845207_2026-05-08_13-21-41,845207,2026-05-08,slap2,SLAP2_SESSION4_PROD_P3_DURATION,Pass,-,130
851452_2026-05-05_10-12-53,851452,2026-05-05,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR,Fail,motion correction failure,131
841191_2026-05-07_09-37-47,841191,2026-05-07,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR,Pass,-,132
841191_2026-05-08_09-57-37,841191,2026-05-08,slap2,SLAP2_SESSION2_PROD_P3_STANDARD,Pass,-,133
841191_2026-05-12_10-06-47,841191,2026-05-12,slap2,SLAP2_SESSION3_PROD_P3_SEQUENCE,Pass,-,134
ecephys_830847_2026-03-09_16-23-49,830847,2026-03-09,neuropixels,EPHYS_SESSION1_PROD_P3_SEQUENCE,PASS,missing running,135
ecephys_830846_2026-03-10_10-17-25,830846,2026-03-10,neuropixels,EPHYS_SESSION2_PROD_P3_DURATION,PASS,missing running,136
ecephys_830846_2026-03-12_11-09-13,830846,2026-03-12,neuropixels,EPHYS_SESSION4_PROD_P3_SENSORYMOTOR,PASS,,137
multiplane-ophys_843000_2026-03-20_14-41-02,843000,2026-03-20,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,138
ecephys_834687_2026-03-16_16-33-30,834687,2026-03-16,neuropixels,EPHYS_SESSION1_PROD_P3_SEQUENCE,PASS,blood at insertion,139
ecephys_830851_2026-03-17_10-46-04,830851,2026-03-17,neuropixels,EPHYS_SESSION2_PROD_P3_STANDARD,FAIL,mouse stress,140
ecephys_832691_2026-03-25_10-22-33,832691,2026-03-25,neuropixels,EPHYS_SESSION3_PROD_P3_STANDARD,FAIL,mouse stress,141
multiplane-ophys_842971_2026-04-18_10-13-51,842971,2026-04-18,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,,142
multiplane-ophys_842971_2026-04-22_09-59-38,842971,2026-04-22,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,,143
multiplane-ophys_842971_2026-04-23_09-36-55,842971,2026-04-23,mesoscope,OPTICAL_SESSION2_DURATION,Pass,,144
multiplane-ophys_842971_2026-04-24_10-05-17,842971,2026-04-24,mesoscope,OPTICAL_SESSION2_DURATION,Pass,,145
multiplane-ophys_842971_2026-04-29_09-39-57,842971,2026-04-29,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,146
multiplane-ophys_842971_2026-05-06_09-36-56,842971,2026-05-06,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,147
multiplane-ophys_842971_2026-05-07_09-22-13,842971,2026-05-07,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,148
multiplane-ophys_842971_2026-05-08_09-32-15,842971,2026-05-08,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,149
multiplane-ophys_839909_2026-02-20_12-53-27,839909,2026-02-20,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,150
multiplane-ophys_839909_2026-02-26_15-11-01,839909,2026-02-26,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,151
multiplane-ophys_839909_2026-02-27_14-04-04,839909,2026-02-27,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,152
multiplane-ophys_839909_2026-03-05_11-45-48,839909,2026-03-05,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,153
multiplane-ophys_839909_2026-03-06_11-23-27,839909,2026-03-06,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,154
multiplane-ophys_839909_2026-03-19_12-45-42,839909,2026-03-19,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,155
multiplane-ophys_839909_2026-03-20_12-32-09,839909,2026-03-20,mesoscope,OPTICAL_SESSION4_DURATION,Pass,,156
multiplane-ophys_839909_2026-04-22_14-40-04,839909,2026-04-22,mesoscope,OPTICAL_SESSION4_DURATION,Pass,,157
multiplane-ophys_837568_2026-02-13_14-38-22,837568,2026-02-13,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,,158
multiplane-ophys_837568_2026-02-16_11-39-57,837568,2026-02-16,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,,159
multiplane-ophys_837568_2026-02-17_11-50-35,837568,2026-02-17,mesoscope,OPTICAL_SESSION2_DURATION,Pass,,160
multiplane-ophys_837568_2026-02-19_13-22-26,837568,2026-02-19,mesoscope,OPTICAL_SESSION2_DURATION,Pass,,161
multiplane-ophys_837568_2026-02-20_10-35-23,837568,2026-02-20,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,162
multiplane-ophys_837568_2026-02-23_12-57-43,837568,2026-02-23,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,163
multiplane-ophys_837568_2026-02-24_11-35-15,837568,2026-02-24,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,164
ecephys_848390_2026-05-04_10-22-33,848390,2026-05-04,neuropixels,EPHYS_SESSION1_PROD_P3_SENSORYMOTOR,PASS,,165
ecephys_848390_2026-05-05_10-08-25,848390,2026-05-05,neuropixels,EPHYS_SESSION2_PROD_P3_STANDARD,PASS,,166
ecephys_848390_2026-05-06_09-54-56,848390,2026-05-06,neuropixels,EPHYS_SESSION3_PROD_P3_SEQUENCE,PASS,,167
ecephys_848390_2026-05-07_10-22-45,848390,2026-05-07,neuropixels,EPHYS_SESSION4_PROD_P3_DURATION,PASS,,168
ecephys_848387_2026-05-04_16-19-01,848387,2026-05-04,neuropixels,EPHYS_SESSION1_PROD_P3_SENSORYMOTOR,PASS,,169
ecephys_848387_2026-05-05_15-55-50,848387,2026-05-05,neuropixels,EPHYS_SESSION2_PROD_P3_STANDARD,PASS,,170
ecephys_848387_2026-05-06_15-09-10,848387,2026-05-06,neuropixels,EPHYS_SESSION3_PROD_P3_SEQUENCE,PASS,,171
ecephys_848387_2026-05-07_15-46-10,848387,2026-05-07,neuropixels,EPHYS_SESSION4_PROD_P3_DURATION,PASS,,172
841191_2026-05-13_14-49-01,841191,2026-05-13,slap2,SLAP2_SESSION4_PROD_P3_DURATION,Pass,motion correction failure,173
851453_2026-06-04_09-56-23,851453,2026-06-04,slap2,SLAP2_SESSION1_PROD_P3_SENSORYMOTOR,Pass,,174
851453_2026-06-10_14-16-52,851453,2026-06-10,slap2,SLAP2_SESSION2_PROD_P3_STANDARD,Pass,mouse suspected asleep,175
851453_2026-06-11_09-43-35,851453,2026-06-11,slap2,SLAP2_SESSION3_PROD_P3_SEQUENCE,Pass,mouse suspected asleep,176
multiplane-ophys_837568_2026-02-26_14-00-52,837568,2026-02-26,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,177
multiplane-ophys_837568_2026-03-05_14-14-51,837568,2026-03-05,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,178
multiplane-ophys_837568_2026-03-06_13-39-00,837568,2026-03-06,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,179
multiplane-ophys_837568_2026-03-09_11-43-41,837568,2026-03-09,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,180
multiplane-ophys_832700_2026-01-24_12-06-12,832700,2026-01-24,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,181
multiplane-ophys_832700_2026-01-29_11-18-09,832700,2026-01-29,mesoscope,OPTICAL_SESSION1_SENSORYMOTOR,Pass,,182
multiplane-ophys_832700_2026-01-30_09-32-25,832700,2026-01-30,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,183
multiplane-ophys_832700_2026-01-31_11-38-29,832700,2026-01-31,mesoscope,OPTICAL_SESSION2_STANDARD,Pass,,184
multiplane-ophys_832700_2026-02-06_12-31-00,832700,2026-02-06,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,185
multiplane-ophys_832700_2026-02-07_11-18-06,832700,2026-02-07,mesoscope,OPTICAL_SESSION3_SEQUENCE,Pass,,186
multiplane-ophys_832700_2026-02-12_11-45-55,832700,2026-02-12,mesoscope,OPTICAL_SESSION4_DURATION,Pass,,187
multiplane-ophys_832700_2026-02-13_11-45-59,832700,2026-02-13,mesoscope,OPTICAL_SESSION4_DURATION,Pass,,188
multiplane-ophys_853137_2026-06-16_15-49-25,853137,2026-06-16,mesoscope,OPTICAL_SESSION1_SEQUENCE,Fail,motion correction failure,189
multiplane-ophys_853137_2026-06-17_12-52-35,853137,2026-06-17,mesoscope,OPTICAL_SESSION1_SEQUENCE,Fail,motion correction failure,190
multiplane-ophys_853137_2026-06-20_11-07-13,853137,2026-06-20,mesoscope,OPTICAL_SESSION2_DURATION,Fail,z-drift,191
multiplane-ophys_853137_2026-06-23_09-56-28,853137,2026-06-23,mesoscope,OPTICAL_SESSION2_DURATION,Pass,z-drift,192
multiplane-ophys_853137_2026-06-24_11-28-54,853137,2026-06-24,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,,193
multiplane-ophys_853137_2026-06-25_13-03-30,853137,2026-06-25,mesoscope,OPTICAL_SESSION3_STANDARD,Pass,z-drift,194
multiplane-ophys_853137_2026-06-26_11-57-03,853137,2026-06-26,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,,195
multiplane-ophys_853137_2026-06-27_12-28-41,853137,2026-06-27,mesoscope,OPTICAL_SESSION4_SENSORYMOTOR,Pass,z-drift,196
multiplane-ophys_853137_2026-07-08_12-09-27,853137,2026-07-08,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,z-drift,197
multiplane-ophys_853137_2026-07-09_09-59-39,853137,2026-07-09,mesoscope,OPTICAL_SESSION1_SEQUENCE,Fail,z-drift,198
multiplane-ophys_853137_2026-07-10_11-45-15,853137,2026-07-10,mesoscope,OPTICAL_SESSION2_DURATION,Pass,z-drift,199
multiplane-ophys_853137_2026-07-14_15-24-43,853137,2026-07-14,mesoscope,OPTICAL_SESSION1_SEQUENCE,Pass,z-drift,200
